IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year,REFERENCE: title,sample_weight
54,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,BCC,,,6.5,487.0,,25.0,,,,,,177.0,,,,10.1016/j.jallcom.2009.08.090,2009,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",0.9664403848807457
54,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,BCC,,,6.5,499.0,,25.0,,,,,,177.0,,,,10.1016/j.jallcom.2009.08.090,2009,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",0.966608369784742
54,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,BCC,,,6.2,484.0,,25.0,,,,,,171.0,,,,10.1016/j.jallcom.2009.08.090,2009,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",0.9161227159556582
54,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,BCC,,,6.2,517.0,,25.0,,,,,,171.0,,,,10.1016/j.jallcom.2009.08.090,2009,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",0.9124858669448908
54,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,ANNEAL,BCC,,,5.9,509.0,,25.0,,,,,,160.0,,,,10.1016/j.jallcom.2009.08.090,2009,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",0.9914423730968212
54,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,ANNEAL,BCC,,,5.9,512.0,,25.0,,,,,,160.0,,,,10.1016/j.jallcom.2009.08.090,2009,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",0.9890556513233071
54,Al1 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,BCC,,,6.7,484.0,,25.0,,,,,,184.0,,,,10.1016/j.jallcom.2009.08.090,2009,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",0.9160514020186938
54,Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,8.2,116.0,,25.0,,,,,,226.0,,,,10.1016/j.jallcom.2009.08.090,2009,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",0.9914423730968212
54,Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,8.2,113.0,,25.0,,,,,,226.0,,,,10.1016/j.jallcom.2009.08.090,2009,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",0.9914423730968212
63,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sec.,CAST,other,,,7.1,715.0,,25.0,,,,,,,,,,10.1007/s11837-013-0753-6,2013,Effect of Aluminum Content on Microstructure and Mechanical Properties of Al x CoCrFeMo0.5Ni High-Entropy Alloys,0.9205433725244938
66,Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,CAST,other,0.15,,6.2,,C,25.0,,2280.0,,6.0,148.0,,,,,10.1016/j.msea.2008.12.053,2009,Microstructure and mechanical properties of CoCrFeNiTiAlx high-entropy alloys,0.9031159929160321
1,Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,ANNEAL,other,,,7.4,654.0,,25.0,,,,,,,,,,10.1016/j.actamat.2011.06.041,2011,Microstructure and wear behavior of AlxCo1.5CrFeNi1.5Tiy high-entropy alloys,0.8511425762474875
4,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,CAST,BCC,,,6.2,402.0,,25.0,,,,,,171.0,,,,10.1016/j.jallcom.2008.07.124,2009,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys,0.855246961911247
4,Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,BCC,CAST,BCC,,,5.6,487.0,,25.0,,,,,,152.0,,,,10.1016/j.jallcom.2008.07.124,2009,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys,0.8624274073980227
4,Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,8.3,286.0,,25.0,,,,,,206.0,,,,10.1016/j.jallcom.2008.07.124,2009,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys,0.8956705203959702
4,Cr1 Cu1 Fe1 Mo1 Ni1,FCC,CAST,FCC,,,8.7,263.0,,25.0,,,,,,236.0,,,,10.1016/j.jallcom.2008.07.124,2009,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys,0.9153658701362561
6,Al1 C0.5 Co1 Cr1 Fe1 Ni1,BCC+Sec.,CAST,other,,,6.4,,C,25.0,1060.0,2250.0,,6.0,181.0,,,,,10.1016/j.jallcom.2010.10.047,2011,Microstructure and compressive properties of multiprincipal component AlCoCrFeNiCx alloys,0.8900015937095164
6,Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC+Sec.,CAST,other,,,5.9,,C,25.0,1255.0,2083.0,,6.0,73.0,,,,,10.1016/j.jallcom.2010.10.047,2011,Microstructure and compressive properties of multiprincipal component AlCoCrFeNiCx alloys,0.9012757777246916
